class_id,key_function,subtype,severity,versions,cve,unique_hashes,total_crashes
BC002,sqlite3Fts5GetTokenizer,null-pointer,HIGH,3.30.1;3.31.1;3.32.0;3.32.2,,4,2142
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,HIGH,3.30.1,CVE-2020-13871,1,121
BC005,alsoAnInt,float-cast-overflow,LOW,3.30.1;3.32.0,,7,7
BC011,sqlite3WindowListDelete,signal-6,MEDIUM,3.30.1,,2,5
